CODGEO,LIBGEO,PMUN21,DENS,NB_Établissement_sante_court_sejour,NB_Établissement_sante_moyen_sejour,NB_Établissement_sante_long_sejour,NB_Établissement_psychiatrique,NB_Centre_lutte_cancer,NB_Urgences,NB_Maternite,NB_Centre_de_sante,NB_Structures_psychiatriques_en_ambulatoire,NB_Centre_medecine_preventive,NB_Dialyse,NB_Hospitalisation_a_domicile,NB_Maison_de_sante_pluridisciplinaire,NB_Laboratoire_d'analyses_et_de_biologie_medicale,NB_Ambulance,NB_Transfusion_sanguine,NB_Établissement_thermal,NB_Pharmacie,NB_Établissement_sante_court_sejour_par_1000h,NB_Établissement_sante_moyen_sejour_par_1000h,NB_Établissement_sante_long_sejour_par_1000h,NB_Établissement_psychiatrique_par_1000h,NB_Centre_lutte_cancer_par_1000h,NB_Urgences_par_1000h,NB_Maternite_par_1000h,NB_Centre_de_sante_par_1000h,NB_Structures_psychiatriques_en_ambulatoire_par_1000h,NB_Centre_medecine_preventive_par_1000h,NB_Dialyse_par_1000h,NB_Hospitalisation_a_domicile_par_1000h,NB_Maison_de_sante_pluridisciplinaire_par_1000h,NB_Laboratoire_d'analyses_et_de_biologie_medicale_par_1000h,NB_Ambulance_par_1000h,NB_Transfusion_sanguine_par_1000h,NB_Établissement_thermal_par_1000h,NB_Pharmacie_par_1000h,NB_EQUIP_SANTE_TOTAL,NB_EQUIP_SANTE_PAR_1000H,ECART_EQUIP_SANTE,DIVERSITE_EQUIP_SANTE
33519,Le Taillan-Médoc,10727,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09322270905192505,0.09322270905192505,0.0,0.0,0.27966812715577516,5,0.46611354525962523,3,3
34123,Juvignac,12783,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07822889775483063,0.2346866932644919,0.0,0.0,0.15645779550966127,6,0.4693733865289838,3,3
34129,Lattes,17544,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,6,0.0,0.0,0.0,0.05699954400364797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05699954400364797,0.05699954400364797,0.0,0.0,0.3419972640218878,9,0.5129958960328317,6,4
34154,Mauguio,16596,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12051096649795132,0.3615328994938539,0.0,0.0,0.3615328994938539,14,0.8435767654856592,6,3
34157,Mèze,12664,2,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,0,3,0.0,0.0,0.0,0.15792798483891343,0.0,0.0,0.0,0.0,0.15792798483891343,0.0,0.0,0.0,0.07896399241945672,0.07896399241945672,0.0,0.0,0.0,0.2368919772583702,9,0.7106759317751106,3,5
34255,Saint-Gély-du-Fesc,10537,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09490367277213628,0.0,0.0,0.0,0.2847110183164088,4,0.3796146910885451,3,2
34270,Saint-Jean-de-Védas,12570,1,1,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,3,0.07955449482895784,0.07955449482895784,0.0,0.0,0.0,0.07955449482895784,0.0,0.0,0.0,0.0,0.07955449482895784,0.0,0.0,0.15910898965791567,0.0,0.0,0.0,0.23866348448687352,9,0.7159904534606205,3,6
34337,Villeneuve-lès-Maguelone,10405,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09610764055742431,0.09610764055742431,0.0,0.0,0.19221528111484862,4,0.38443056222969724,2,3
35024,Betton,12695,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07877116975187082,0.07877116975187082,0.07877116975187082,0.0,0.0,0.23631350925561243,6,0.47262701851122485,3,4
35047,Bruz,19651,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,6,0.0,0.0,0.0,0.1017759910437128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1017759910437128,0.0508879955218564,0.0,0.0,0.30532797313113835,11,0.5597679507404204,6,4
35051,Cesson-Sévigné,17716,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,6,0.05644615037254459,0.0,0.0,0.0,0.0,0.05644615037254459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11289230074508919,0.05644615037254459,0.0,0.0,0.33867690223526753,11,0.6209076540979904,6,5
35055,Chantepie,10232,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0.0,0.09773260359655982,0.09773260359655982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09773260359655982,0.19546520719311963,0.0,0.0,0.19546520719311963,7,0.6841282251759186,2,5
35069,Châteaugiron,10518,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09507510933637574,0.09507510933637574,0.0,0.0,0.19015021867275148,4,0.38030043734550295,2,3
35093,Dinard,10219,2,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,6,0.09785693316371466,0.09785693316371466,0.0,0.09785693316371466,0.0,0.0,0.0,0.0,0.09785693316371466,0.0,0.09785693316371466,0.0,0.0,0.09785693316371466,0.09785693316371466,0.0,0.0,0.5871415989822879,13,1.2721401311282905,6,8
35210,Pacé,11918,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1678133915086424,0.0839066957543212,0.0,0.0,0.2517200872629636,6,0.5034401745259272,3,3
35281,Saint-Jacques-de-la-Lande,13656,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.07322788517867604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29291154071470415,5,0.3661394258933802,4,2
35360,Vitré,18998,2,1,1,1,3,0,1,1,2,0,0,0,0,0,1,1,0,0,7,0.052637119696810196,0.052637119696810196,0.052637119696810196,0.15791135909043058,0.0,0.052637119696810196,0.052637119696810196,0.10527423939362039,0.0,0.0,0.0,0.0,0.0,0.052637119696810196,0.052637119696810196,0.0,0.0,0.36845983787767134,19,1.0001052742393937,7,10
36088,Issoudun,10992,2,1,1,1,0,0,1,0,3,0,0,1,0,0,1,3,0,0,6,0.09097525473071325,0.09097525473071325,0.09097525473071325,0.0,0.0,0.09097525473071325,0.0,0.2729257641921397,0.0,0.0,0.09097525473071325,0.0,0.0,0.09097525473071325,0.2729257641921397,0.0,0.0,0.5458515283842794,18,1.6375545851528384,6,9
37003,Amboise,12938,3,1,2,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,5,0.07729169887154119,0.15458339774308238,0.0,0.07729169887154119,0.0,0.07729169887154119,0.0,0.07729169887154119,0.0,0.0,0.0,0.0,0.07729169887154119,0.07729169887154119,0.07729169887154119,0.0,0.0,0.38645849435770596,14,1.0820837842015767,5,9
37050,Chambray-lès-Tours,11589,1,2,1,0,2,0,2,1,0,0,0,1,0,0,3,1,1,0,4,0.17257744412805245,0.08628872206402623,0.0,0.17257744412805245,0.0,0.17257744412805245,0.08628872206402623,0.0,0.0,0.0,0.08628872206402623,0.0,0.0,0.2588661661920787,0.08628872206402623,0.08628872206402623,0.0,0.3451548882561049,18,1.5531969971524722,4,10
